1.0	2.4	0.3
-0.3	2.5	-4.1
-1.6	-3.8	1.7
1.6	0.2	-1.2
-3.8	0.9	-931.4
1.9	-0.1	-1.8
-7.5	-0.3	-1028.8
3.1	4.0	-2.3
1.4	-5.4	1.2
1.0	-0.7	-3.0
-3.0	-1.7	-1.9
-1.4	0.4	-0.2
0.6	1.4	1.8
3.5	-0.2	-1.1
0.3	-2.3	0.6
1.9	-1.6	-0.5
1.2	-3.5	-0.6
-1.4	-2.3	2.7
0.4	-1.1	-0.3
1.3	3.2	-3.0
-0.4	2.7	-5.0
3.8	3.3	-2.8
-1.6	1.3	-1.2
2.6	0.8	3.0
-0.2	-915.3	0.8
12.2	0.8	-0.3
0.8	0.9	-0.9
4.0	2.5	0.1
3.1	-1015.0	-0.3
-1.1	1.1	-0.1
-0.6	-3.2	2.9
-13.2	-1.2	-2.5
4.0	-0.1	1.7
-1.2	-0.3	4.5
1.3	0.5	-1.0
4.0	4.3	-5.1
-7.4	-0.4	0.1
2.2	0.9	-2.6
-2.2	-2.4	-0.9
0.1	3.3	1.0
1.3	-1025.4	3.2
-1.3	1.7	-6.2
3.6	-1033.9	0.2
0.0	-4.8	1.8
-0.3	-1.6	-3.2
-0.8	1.0	-1.8
1.9	3.2	-1.2
5.9	-0.3	-0.1
3.0	-2.5	2.8
-1.8	1.3	-2.2
1.1	0.7	-2.5
-13.9	-2.5	-1.0
-3.0	-1.1	4.1
-1.1	1.0	-2.2
11.5	0.0	-0.6
-0.1	5.7	-0.9
1.7	0.0	-0.8
-2.3	-1.2	2.1
2.6	-1.1	2.6
2.8	-3.2	-1034.9
0.7	0.2	3.0
4.6	2.3	2.6
-1.1	3.4	0.3
-11.0	0.6	0.4
-0.5	0.6	-2.2
-2.6	-2.3	-1050.5
1.0	-0.7	-2.2
3.9	1.9	-1020.0
2.7	-1036.5	3.7
-3.3	-4.6	0.8
0.7	4.1	1.2
4.3	2.0	-2.9
0.0	0.8	-3.0
1.4	2.5	-2.0
-7.6	-50.1	-47.2
2.4	1.3	-0.4
-0.1	0.3	0.7
0.2	1.8	-2.1
0.1	1.1	-4.8
0.9	-0.9	0.8
-0.6	0.0	-0.8
1.0	1.1	-3.8
4.4	0.8	-5.5
5.4	-4.3	5.1
-1.8	2.1	-6.2
-1.4	-1.3	0.9
3.3	1.1	-0.2
2.0	1.3	0.7
-6.9	-2.0	0.8
2.3	-0.5	2.0
1.6	0.9	-1093.0
-10.7	0.0	-0.9
1.8	2.4	1.6
2.4	-2.7	-4.0
1.3	-961.8	5.8
-1.2	4.1	0.1
0.7	-2.4	-2.1
-0.4	1.4	-2.9
5.9	-6.9	1.5
-10.7	0.7	-1.6
1.5	-0.5	0.6
1.7	-0.9	5.4
-0.4	1.1	-5.0
2.9	0.6	-0.9
0.9	3.3	-2.7
3.3	0.3	0.7
-0.8	-1.7	1.9
0.6	1.5	3.6
-5.8	-0.4	-1.0
-10.1	2.1	-1.0
-2.0	-0.2	0.1
2.5	3.2	1.4
1.9	0.2	-0.1
1.2	3.6	-4.0
2.7	1.2	-1018.9
-0.5	-0.1	2.1
-2.3	0.6	-5.5
-1.4	3.2	1.7
2.0	-0.9	1.1
2.2	-1022.5	-1.1
1.9	-1027.8	1.3
-5.2	4.2	-1.4
0.6	0.2	-1.2
2.8	0.4	0.8
17.1	4.7	-919.3
2.7	0.1	-14.3
0.4	-0.4	0.0
3.6	-1.2	-0.7
0.1	-7.1	3.9
-1.8	-1.3	2.2
1.8	2.3	-995.3
-2.6	3.8	0.7
-0.4	3.7	-0.3
2.6	2.8	-6.7
-3.0	-0.7	-1.5
-0.4	-1.8	1.6
-8.1	-22.1	-5.2
1.4	-5.5	5.3
1.9	2.1	-0.4
-2.3	-1.1	-0.3
3.5	-1016.4	4.2
-0.1	0.1	0.1
0.3	-2.1	0.1
0.9	1.2	0.2
2.1	-0.3	-2.1
1.0	0.2	-1000.3
1.0	0.6	-945.6
-0.9	0.5	4.9
-1.1	-1025.2	-0.4
-3.0	-2.3	-0.1
5.6	-0.1	0.3
-1.1	-0.9	2.4
-2.6	-6.5	2.8
2.7	4.5	-1.2
5.7	0.3	-1017.6
-8.7	-3.7	1.8
-1.9	-2.8	5.3
1.4	1.4	-2.1
-2.8	-1.7	-2.3
-0.8	-6.5	4.8
-0.4	-0.2	-0.5
0.8	1.0	1.1
0.6	2.8	-1.4
0.7	0.3	-4.7
3.9	-0.5	0.9
1.9	-1015.1	0.5
3.8	0.9	0.4
4.9	2.0	4.1
1.5	-0.3	-1.2
1.1	0.0	-1.4
0.2	3.4	-1.0
0.5	-954.6	0.4
1.7	-0.9	-1.4
1.1	0.2	4.4
-0.6	-3.4	5.0
10.0	-6.9	5.5
-0.2	2.0	0.5
-0.7	6.6	-0.8
5.5	0.6	-6.2
0.6	-0.5	0.4
0.7	1.1	-1.3
-1.6	0.9	2.4
-4.0	-2.8	-1.5
4.2	6.0	-999.4
2.2	1.8	0.7
0.2	-0.6	-1070.0
-1.1	1.0	1.7
2.3	4.6	-1052.7
1.4	-1.8	1.9
-2.5	-1.4	2.1
0.4	-1.3	-1.6
0.1	-1.0	3.1
0.1	2.1	2.1
-7.1	-0.7	2.1
1.5	-961.1	-1.0
2.3	3.7	-1.7
1.0	-2.2	5.5
0.2	-0.4	-0.5
-0.7	-5.9	-0.1
0.7	2.2	-1.8
0.1	1.5	-0.4
2.0	1.1	-2.4
-0.3	4.1	-0.5
-3.4	-0.1	-1070.0
-4.2	1.6	-0.2
-0.2	-3.4	-0.4
2.2	3.2	-4.6
0.9	1.6	1.1
-0.1	-0.2	-2.9
-0.4	0.7	-938.7
0.4	-4.0	4.3
-1.4	-2.7	3.0
2.4	-1.7	-2.8
5.6	-1.7	-1.0
1.2	-1.4	-2.7
1.8	1.2	0.9
1.1	-958.5	1.3
0.0	-2.8	-0.4
-0.4	-1.3	0.7
1.1	2.6	2.8
-1.1	2.0	-6.0
0.1	0.6	0.9
2.0	-943.9	-0.3
1.3	3.4	2.5
0.9	4.6	-1.0
2.7	3.3	-5.2
0.7	1.2	0.3
2.4	0.6	0.7
