0 0 866.158 2.91153
0 1 965.186 139.17
0 2 -396.041 81.2443
1 0 864.816 3.72874
1 1 893.421 194.395
1 2 -429.549 132.653
2 0 859.182 2.01519
2 1 476.587 87.5999
2 2 -180.426 61.0549
3 0 874.009 5.97993
3 1 1432.88 354.717
3 2 -696.935 214.881
4 0 862.348 3.56898
4 1 983.076 173.369
4 2 -437.685 106.476
5 0 858.876 2.30733
5 1 747.798 96.6412
5 2 -262.814 54.0911
6 0 867.124 2.85512
6 1 931.956 137.075
6 2 -370.318 80.8216
7 0 867.015 3.3482
7 1 910.171 175.323
7 2 -414.372 117.66
8 0 870.921 3.33278
8 1 1175 178.986
8 2 -514.091 105.757
9 0 857.536 1.42161
9 1 346.971 57.3763
9 2 -100.329 36.8954
10 0 864.053 2.02294
10 1 769.606 87.2923
10 2 -276.904 51.0798
11 0 870.275 2.50307
11 1 1008.76 123.342
11 2 -392.393 70.9111
12 0 869.385 3.72167
12 1 1196.81 196.736
12 2 -543.283 117.676
13 0 856.721 1.89405
13 1 320.294 82.3409
13 2 -148.512 76.3283
14 0 866.723 3.23744
14 1 989.086 161.109
14 2 -426.66 98.8523
15 0 861.744 2.91599
15 1 743.5 135.575
15 2 -293.919 84.7571
16 0 870.458 5.67737
16 1 1391.55 329.738
16 2 -745.838 212.845
17 0 865.673 2.93974
17 1 827.105 148.588
17 2 -371.136 99.0024
18 0 860.322 1.91548
18 1 550.971 83.7659
18 2 -169.584 48.8055
19 0 861.054 2.14691
19 1 532.036 103.016
19 2 -239.73 79.6436
20 0 868.154 2.91013
20 1 946.528 154.526
20 2 -431.26 101.768
21 0 863.949 1.98932
21 1 829.942 85.4975
21 2 -284.232 47.0455
22 0 863.108 2.38896
22 1 650.98 118.48
22 2 -299.475 87.4546
23 0 873.32 3.93221
23 1 1286.89 224.411
23 2 -618.003 139.326
24 0 863.787 2.07626
24 1 671.335 99.8166
24 2 -270.692 66.4887
25 0 864.453 2.89611
25 1 718.862 147.354
25 2 -369.215 112.442
26 0 859.052 1.55758
26 1 408.466 66.2783
26 2 -145.821 46.846
27 0 872.327 4.63943
27 1 1315.04 263.559
27 2 -628.274 160.166
28 0 866.047 3.41458
28 1 1054.75 179.998
28 2 -511.972 117.381
29 0 861.927 2.77314
29 1 836.096 133.637
29 2 -397.337 91.526
30 0 863.951 2.19897
30 1 789.648 106.773
30 2 -331.448 68.8208
31 0 855.005 1.16328
31 1 275.361 44.953
31 2 -93.5365 34.5388
32 0 866.358 4.6944
32 1 1207.57 275.044
32 2 -734.025 201.492
33 0 858.498 1.36304
33 1 582.02 50.4525
33 2 -165.566 26.8754
34 0 873.227 3.72255
34 1 1328.34 206.268
34 2 -627.077 123.501
35 0 868.972 2.55485
